X,135050932,X,135020513
X,135050932,X,135032355
X,135020513,X,135032355
1,153614255,1,153606886
20,23823769,20,23747553
18,35251058,18,35241030
7,100049774,7,100015572
16,3401215,16,3382081
17,80991598,17,81035122
11,116820700,11,116829706
22,22887780,22,22922594
11,116820700,11,116829706
11,66638617,11,66664998
10,4963253,10,5035354
10,4963253,10,4987400
14,52707178,14,52775193
17,79792132,17,79833156
21,36135079,21,36069941
13,41189834,13,41127569
20,45207033,20,45221373
X,135050932,X,135020513
21,36135079,21,36069941
21,36135079,21,36069941
10,89392546,10,89327997
11,102770502,11,102835801
17,43875357,17,43800799
20,33235995,20,33273480
19,5586999,19,5623035
3,50362799,3,50317790
11,1223066,11,1157953
17,63872012,17,63894909
19,9604680,19,9641807
21,36135079,21,36069941
13,41189834,13,41127569
3,53156009,3,53224712
20,23685640,20,23747553
20,23823769,20,23747553
22,46684410,22,46762617
10,4963253,10,5035354
10,89392546,10,89327997
X,135032355,X,135020513
17,51165435,17,51165435
16,28605196,16,28591943
10,96832282,10,96832282
1,153614255,1,153606886
17,43875357,17,43800799
17,45160700,17,45148502
17,43875357,17,43800799
13,41189834,13,41127569
16,70346861,16,70289663
14,24136163,14,24143362
19,42866464,19,42902079
12,52644558,12,52674736
22,46684410,22,46762617
19,42866464,19,42902079
1,153606886,1,153614255
17,10492307,17,10443290
12,56118260,12,56041351
16,30524004,16,30602558
10,68956170,10,68901286
19,7763149,19,7739993
18,63637259,18,63655197
22,44752558,22,44702233
19,42866464,19,42902079
4,6640091,4,6707701
12,56158161,12,56152256
17,48595751,17,48621156
14,52707178,14,52775193
12,55820960,12,55752463
17,10492307,17,10443290
4,6640091,4,6707701
