5,55625845,9,19049427,-4.626067204
5,55625845,1,38838198,-4.431186732
9,19049427,1,38838198,-4.825142443
X,72044545,6,26017085,-4.642569001
17,42113111,1,77562416,-4.544818984
17,42113111,3,9779860,-4.357402335
17,42113111,20,18138118,-4.626041398
17,42113111,3,20040446,-4.539036886
17,42113111,3,183697797,-4.333419872
1,77562416,3,9779860,-4.548360008
1,77562416,20,18138118,-4.515969075
1,77562416,3,20040446,-4.747723326
1,77562416,3,183697797,-4.688234347
1,77562416,17,37406886,-4.43268168
3,9779860,20,18138118,-4.930612417
3,9779860,17,37406886,-4.52856626
20,18138118,3,20040446,-5.209156982
20,18138118,3,183697797,-4.547608012
20,18138118,17,37406886,-4.59308534
3,20040446,17,37406886,-4.301960846
3,183697797,17,37406886,-5.145561854
10,68331174,13,52642425,-4.527763569
3,45689056,7,130506238,-4.359580051
3,139355600,7,130506238,-4.668939066
9,136862119,3,32525974,-4.366066128
9,136862119,3,150546678,-4.578317711
10,67884656,3,141324213,-inf
X,135050932,1,182789293,-inf
X,135050932,7,94656325,-5.008745895
1,182789293,X,141111605,-inf
1,182789293,X,135020513,-inf
1,182789293,7,94656325,-4.703556428
1,182789293,X,135032355,-inf
X,141111605,7,94656325,-4.946461901
X,135020513,7,94656325,-5.008745895
7,94656325,X,135032355,-5.008745895
X,15790472,19,41310172,-4.716624543
19,49114324,11,27494418,-5.189693295
19,49114324,9,13105704,-4.210626185
19,49114324,X,41514934,-4.683466557
11,27494418,9,13105704,-4.568098208
11,27494418,X,41514934,-4.739908585
9,13105704,X,41514934,-inf
11,123358428,15,44288719,-4.918420382
11,123358428,5,126360132,-inf
11,123358428,1,46675159,-4.546374651
15,44288719,5,126360132,-4.9149387
15,44288719,1,46675159,-4.512529252
5,126360132,1,46675159,-4.639802982
19,38647649,2,21001429,-5.221871679
16,50742050,17,76376584,-4.601248387
12,21501781,9,129738331,-4.909423831
12,21501781,6,17600302,-4.66658328
12,21501781,11,95089846,-4.503650583
12,21501781,19,41956681,-4.636493477
12,21501781,9,5357971,-4.646983653
9,129738331,6,17600302,-4.51171321
9,129738331,11,95089846,-4.667539275
9,129738331,19,41956681,-4.335495371
6,17600302,11,95089846,-4.90181998
6,17600302,19,41956681,-4.335692869
6,17600302,9,5357971,-4.522274304
11,95089846,19,41956681,-5.172760171
11,95089846,9,5357971,-4.706129093
19,41956681,9,5357971,-4.4921845
9,127785679,4,86935002,-4.4844993
9,127785679,19,6210381,-4.273260619
9,127785679,12,48688458,-4.658059012
9,127785679,2,134918235,-4.957688221
9,127785679,5,95885098,-4.360048736
9,127785679,5,132875395,-4.629725701
9,20341669,4,86935002,-5.280639948
9,20341669,19,6210381,-4.416188753
9,20341669,12,48688458,-4.579138397
9,20341669,2,134918235,-4.79958636
9,20341669,5,95885098,-5.031250647
9,20341669,5,132875395,-4.471623839
4,86935002,19,6210381,-4.226047301
4,86935002,12,48688458,-4.485906957
4,86935002,2,134918235,-4.66059743
4,86935002,5,95885098,-4.415140463
4,86935002,5,132875395,-4.633664905
19,6210381,12,48688458,-4.478788259
19,6210381,2,134918235,-4.574297486
19,6210381,5,95885098,-4.453779255
19,6210381,5,132875395,-4.547364961
12,48688458,2,134918235,-4.260125875
12,48688458,5,95885098,-5.014668907
12,48688458,5,132875395,-4.455042099
2,134918235,5,95885098,-5.013268121
2,134918235,5,132875395,-4.532822558
8,28890395,6,82892390,-5.134123982
8,28890395,2,31865060,-4.653128022
6,82892390,2,31865060,-4.810005109
13,34942287,4,150264435,-4.467574059
13,34942287,1,211476522,-4.778153363
4,150264435,1,211476522,-5.195539947
13,26557683,2,105744912,-4.491445076
13,26557683,7,123681943,-4.725185887
2,105744912,7,123681943,-4.892170786
7,74082933,1,12019466,-4.221893199
2,96816245,6,32659467,-4.455195866
2,96816245,10,99329356,-5.168451142
6,32659467,10,99329356,-5.03666292
21,33485530,1,111448864,-4.363269264
12,104303739,17,62458658,-4.301588202
8,53966552,X,120594010,-4.968834364
8,53966552,14,45115599,-4.554157127
X,120594010,14,45115599,-4.285532706
1,174159410,9,122940833,-4.684106498
1,174159410,6,3722614,-4.657762727
9,122940833,6,3722614,-4.958864978
13,52642425,19,5691834,-4.143866893
2,53787044,14,81471547,-4.346360887
2,53787044,12,57693955,-4.342400745
14,81471547,12,57693955,-5.153833735
12,54575387,17,7420324,-5.216850472
10,68721012,1,183023420,-4.581844278
8,119833976,16,69118010,-4.747982825
4,174283730,12,89419718,-4.572633436
9,113275343,11,65961728,-4.709961374
3,10115675,X,17375420,-4.38709242
3,10115675,2,203394345,-4.255203362
3,10115675,10,26746593,-4.397779962
X,17375420,2,203394345,-4.975339533
X,17375420,10,26746593,-4.941824874
2,203394345,10,26746593,-4.68499708
7,23504780,2,200853009,-4.640221866
6,49785660,17,6640985,-5.115535721
6,49785660,1,33007940,-inf
6,49785660,12,57782761,-4.84038
17,6640985,1,33007940,-4.603782647
17,6640985,12,57782761,-4.64121313
1,33007940,12,57782761,-4.532746908
22,30554635,19,43192702,-4.230184347
22,30554635,19,43007656,-4.461946863
19,33299934,17,42980565,-4.563726973
19,33299934,17,5282265,-4.459169626
19,33299934,9,136796338,-4.487640932
17,42980565,9,136796338,-4.41040369
17,5282265,9,136796338,-4.481937602
12,53307456,2,27032910,-4.071383982
12,53307456,9,128504700,-4.21615717
12,53307456,2,130151392,-4.391791569
12,53307456,16,1308880,-4.146003194
12,53307456,17,75165586,-4.355496395
12,53307456,7,130164713,-4.270786719
12,53307456,1,53765478,-4.276968177
12,53307456,3,185582496,-5.138016319
12,53307456,1,28505943,-5.177497296
12,53307456,2,202206180,-4.430757877
12,53307456,11,62792123,-4.402074782
2,27032910,9,128504700,-4.112637238
2,27032910,16,1308880,-4.129633438
2,27032910,17,75165586,-4.26777073
2,27032910,7,130164713,-4.292205523
2,27032910,1,53765478,-4.407531451
2,27032910,3,185582496,-4.381283874
2,27032910,1,28505943,-4.897886105
2,27032910,11,62792123,-4.160252152
2,27032910,12,57055643,-4.036430127
9,128504700,2,130151392,-5.00034271
9,128504700,16,1308880,-4.047758994
9,128504700,17,75165586,-4.303995598
9,128504700,7,130164713,-4.481397851
9,128504700,1,53765478,-4.237701836
9,128504700,3,185582496,-4.445537465
9,128504700,1,28505943,-4.338890406
9,128504700,2,202206180,-4.516430273
9,128504700,11,62792123,-4.584657191
9,128504700,12,57055643,-4.243351222
2,130151392,16,1308880,-4.415278918
2,130151392,17,75165586,-4.729507469
2,130151392,7,130164713,-inf
2,130151392,1,53765478,-4.760123721
2,130151392,3,185582496,-4.490838095
2,130151392,1,28505943,-inf
2,130151392,11,62792123,-4.709139067
2,130151392,12,57055643,-4.41898562
16,1308880,17,75165586,-4.269839275
16,1308880,7,130164713,-4.89633406
16,1308880,1,53765478,-4.652638044
16,1308880,3,185582496,-inf
16,1308880,1,28505943,-4.422833395
16,1308880,2,202206180,-4.387298437
16,1308880,11,62792123,-4.249470873
16,1308880,12,57055643,-4.311499944
17,75165586,7,130164713,-4.511592606
17,75165586,1,53765478,-4.489745341
17,75165586,3,185582496,-4.060758872
17,75165586,1,28505943,-4.311093214
17,75165586,2,202206180,-4.342505045
17,75165586,11,62792123,-4.614851946
17,75165586,12,57055643,-4.449637236
7,130164713,1,53765478,-4.396080822
7,130164713,3,185582496,-4.545924504
7,130164713,1,28505943,-4.409314222
7,130164713,2,202206180,-4.440726053
7,130164713,11,62792123,-4.713072954
7,130164713,12,57055643,-4.599010766
1,53765478,3,185582496,-4.427167225
1,53765478,2,202206180,-4.674151293
1,53765478,11,62792123,-4.645468198
1,53765478,12,57055643,-4.413306698
3,185582496,1,28505943,-4.85057509
3,185582496,2,202206180,-4.705895662
3,185582496,11,62792123,-4.552273831
3,185582496,12,57055643,-4.262120384
1,28505943,2,202206180,-4.143316648
1,28505943,11,62792123,-4.239572289
1,28505943,12,57055643,-4.426540097
2,202206180,11,62792123,-4.270984121
2,202206180,12,57055643,-4.391005139
11,62792123,12,57055643,-4.362322044
20,37983007,16,28097979,-4.25086269
20,37983007,2,43230836,-4.69029489
16,28097979,2,43230836,-5.259204452
7,88205118,15,74890005,-4.621288819
5,154887411,2,43222402,-4.596245598
2,43222402,5,157743712,-4.618139355
22,21642302,1,1434861,-inf
1,171485551,19,617221,-4.72001382
1,171485551,3,25597905,-4.672757246
1,171485551,12,49366584,-4.96352014
1,171485551,X,154389955,-4.930192126
1,171485551,14,73490933,-4.658279646
1,171485551,17,782353,-5.279774597
1,171485551,7,73440406,-4.476231558
1,171485551,3,51993522,-4.401658172
19,617221,3,25597905,-4.509340931
19,617221,12,49366584,-4.294953847
19,617221,X,154389955,-3.960595837
19,617221,14,73490933,-4.348735295
19,617221,17,782353,-3.870845614
19,617221,7,73440406,-4.154452751
19,617221,3,51993522,-4.33515187
3,25597905,12,49366584,-4.430627956
3,25597905,X,154389955,-4.339307995
3,25597905,14,73490933,-4.572545493
3,25597905,17,782353,-4.445852417
3,25597905,7,73440406,-4.709256168
12,49366584,X,154389955,-4.232130881
12,49366584,14,73490933,-4.416150356
12,49366584,17,782353,-4.280683355
12,49366584,7,73440406,-4.331012281
12,49366584,3,51993522,-4.46951372
X,154389955,14,73490933,-4.449769132
X,154389955,17,782353,-4.64529535
X,154389955,7,73440406,-4.540722316
X,154389955,3,51993522,-4.436185706
